cell_id,centroid_x,centroid_y,dx,dy,bearing_deg,ds_id,area_m2,soil_type,wpf_ymin,wpf_ymax,wpf_k
1,1526559.087000,5172118.971000,-54.999700,-394.999500,187.926894,187,100.000000,Organic patch,1.100000,2.200000,0.038000
2,1526569.087000,5172118.971000,-44.999700,-394.999500,186.499311,186,100.000000,Organic patch,1.100000,2.200000,0.038000
3,1526579.087000,5172118.971000,-34.999700,-394.999500,185.063580,185,100.000000,Organic patch,1.100000,2.200000,0.038000
4,1526589.087000,5172118.971000,-24.999700,-394.999500,183.621446,183,100.000000,Organic patch,1.100000,2.200000,0.038000
5,1526599.087000,5172118.971000,-14.999700,-394.999500,182.174703,182,100.000000,Organic patch,1.100000,2.200000,0.038000
6,1526609.087000,5172118.971000,-4.999700,-394.999500,180.725182,180,100.000000,Organic patch,1.100000,2.200000,0.038000
7,1526619.087000,5172118.971000,5.000300,-394.999500,179.274731,179,100.000000,Organic patch,1.100000,2.200000,0.038000
8,1526629.087000,5172118.971000,15.000300,-394.999500,177.825210,177,100.000000,Organic patch,1.100000,2.200000,0.038000
9,1526639.087000,5172118.971000,25.000300,-394.999500,176.378467,176,100.000000,Organic patch,1.100000,2.200000,0.038000
10,1526649.087000,5172118.971000,35.000300,-394.999500,174.936334,174,100.000000,Organic patch,1.100000,2.200000,0.038000
11,1526659.087000,5172118.971000,45.000300,-394.999500,173.500603,173,100.000000,Organic patch,1.100000,2.200000,0.038000
12,1526669.087000,5172118.971000,55.000300,-394.999500,172.073021,172,100.000000,Organic patch,1.100000,2.200000,0.038000
13,1526509.087000,5172128.971000,-104.999700,-384.999500,195.255096,195,100.000000,Organic patch,1.100000,2.200000,0.038000
14,1526519.087000,5172128.971000,-94.999700,-384.999500,193.861003,193,100.000000,Organic patch,1.100000,2.200000,0.038000
15,1526529.087000,5172128.971000,-84.999700,-384.999500,192.449970,192,100.000000,Organic patch,1.100000,2.200000,0.038000
16,1526539.087000,5172128.971000,-74.999700,-384.999500,191.023427,191,100.000000,Organic patch,1.100000,2.200000,0.038000
17,1526549.087000,5172128.971000,-64.999700,-384.999500,189.582914,189,100.000000,Organic patch,1.100000,2.200000,0.038000
18,1526559.087000,5172128.971000,-54.999700,-384.999500,188.130069,188,100.000000,Organic patch,1.100000,2.200000,0.038000
19,1526569.087000,5172128.971000,-44.999700,-384.999500,186.666624,186,100.000000,Organic patch,1.100000,2.200000,0.038000
20,1526579.087000,5172128.971000,-34.999700,-384.999500,185.194391,185,100.000000,Organic patch,1.100000,2.200000,0.038000
21,1526589.087000,5172128.971000,-24.999700,-384.999500,183.715249,183,100.000000,Organic patch,1.100000,2.200000,0.038000
22,1526599.087000,5172128.971000,-14.999700,-384.999500,182.231133,182,100.000000,Organic patch,1.100000,2.200000,0.038000
23,1526609.087000,5172128.971000,-4.999700,-384.999500,180.744016,180,100.000000,Organic patch,1.100000,2.200000,0.038000
24,1526619.087000,5172128.971000,5.000300,-384.999500,179.255895,179,100.000000,Organic patch,1.100000,2.200000,0.038000
25,1526629.087000,5172128.971000,15.000300,-384.999500,177.768778,177,100.000000,Organic patch,1.100000,2.200000,0.038000
26,1526639.087000,5172128.971000,25.000300,-384.999500,176.284662,176,100.000000,Organic patch,1.100000,2.200000,0.038000
27,1526649.087000,5172128.971000,35.000300,-384.999500,174.805520,174,100.000000,Organic patch,1.100000,2.200000,0.038000
28,1526659.087000,5172128.971000,45.000300,-384.999500,173.333287,173,100.000000,Organic patch,1.100000,2.200000,0.038000
29,1526669.087000,5172128.971000,55.000300,-384.999500,171.869843,171,100.000000,Organic patch,1.100000,2.200000,0.038000
30,1526679.087000,5172128.971000,65.000300,-384.999500,170.417000,170,100.000000,Organic patch,1.100000,2.200000,0.038000
31,1526689.087000,5172128.971000,75.000300,-384.999500,168.976487,168,100.000000,Organic patch,1.100000,2.200000,0.038000
32,1526699.087000,5172128.971000,85.000300,-384.999500,167.549945,167,100.000000,Organic patch,1.100000,2.200000,0.038000
33,1526709.087000,5172128.971000,95.000300,-384.999500,166.138913,166,100.000000,Organic patch,1.100000,2.200000,0.038000
34,1526719.087000,5172128.971000,105.000300,-384.999500,164.744821,164,100.000000,Organic patch,1.100000,2.200000,0.038000
35,1526479.087000,5172138.971000,-134.999700,-374.999500,199.798860,199,100.000000,Organic patch,1.100000,2.200000,0.038000
36,1526489.087000,5172138.971000,-124.999700,-374.999500,198.434930,198,100.000000,Organic patch,1.100000,2.200000,0.038000
37,1526499.087000,5172138.971000,-114.999700,-374.999500,197.049010,197,100.000000,Organic patch,1.100000,2.200000,0.038000
38,1526509.087000,5172138.971000,-104.999700,-374.999500,195.642224,195,100.000000,Organic patch,1.100000,2.200000,0.038000
39,1526519.087000,5172138.971000,-94.999700,-374.999500,194.215829,194,100.000000,Organic patch,1.100000,2.200000,0.038000
