ds_id,iw_mm,area_m2,area_ha,yield_t_ha,profit_rate_per_ha,profit_total
0,0.00,1100.000000,0.110000,0.600000,180.000000,19.800000
0,10.00,1100.000000,0.110000,0.795373,216.111902,23.772309
0,20.00,1100.000000,0.110000,0.943033,237.909825,26.170081
0,30.00,1100.000000,0.110000,1.054632,248.889474,27.377842
0,40.00,1100.000000,0.110000,1.138976,251.692849,27.686213
0,50.00,1100.000000,0.110000,1.202722,248.316729,27.314840
0,60.00,1100.000000,0.110000,1.250901,240.270246,26.429727
0,70.00,1100.000000,0.110000,1.287313,228.693979,25.156338
0,80.00,1100.000000,0.110000,1.314833,214.449959,23.589495
0,90.00,1100.000000,0.110000,1.335632,198.189694,21.800866
0,100.00,1100.000000,0.110000,1.351352,180.405585,19.844614
1,0.00,1500.000000,0.150000,0.706667,212.000000,31.800000
1,10.00,1500.000000,0.150000,0.943510,260.552859,39.082929
1,20.00,1500.000000,0.150000,1.118380,290.513855,43.577078
1,30.00,1500.000000,0.150000,1.247522,306.756701,46.013505
1,40.00,1500.000000,0.150000,1.342916,312.874944,46.931242
1,50.00,1500.000000,0.150000,1.413397,311.518964,46.727845
1,60.00,1500.000000,0.150000,1.465480,304.644035,45.696605
1,70.00,1500.000000,0.150000,1.503977,293.693002,44.053950
1,80.00,1500.000000,0.150000,1.532436,279.730841,41.959626
1,90.00,1500.000000,0.150000,1.553479,263.543810,39.531571
1,100.00,1500.000000,0.150000,1.569042,245.712523,36.856878
2,0.00,1500.000000,0.150000,0.680000,204.000000,30.600000
2,10.00,1500.000000,0.150000,0.909898,250.469510,37.570426
2,20.00,1500.000000,0.150000,1.079226,278.767698,41.815155
2,30.00,1500.000000,0.150000,1.204081,293.724426,44.058664
2,40.00,1500.000000,0.150000,1.296247,298.874223,44.831133
2,50.00,1500.000000,0.150000,1.364356,296.806827,44.521024
2,60.00,1500.000000,0.150000,1.414740,289.422015,43.413302
2,70.00,1500.000000,0.150000,1.452050,278.115082,41.717262
2,80.00,1500.000000,0.150000,1.479707,263.912018,39.586803
2,90.00,1500.000000,0.150000,1.500227,247.568122,37.135218
2,100.00,1500.000000,0.150000,1.515467,229.640059,34.446009
3,0.00,1500.000000,0.150000,0.706667,212.000000,31.800000
3,10.00,1500.000000,0.150000,0.945616,261.184791,39.177719
3,20.00,1500.000000,0.150000,1.121261,291.378379,43.706757
3,30.00,1500.000000,0.150000,1.250465,307.639490,46.145923
3,40.00,1500.000000,0.150000,1.345572,313.671746,47.050762
3,50.00,1500.000000,0.150000,1.415629,312.188762,46.828314
3,60.00,1500.000000,0.150000,1.467268,305.180298,45.777045
3,70.00,1500.000000,0.150000,1.505355,294.106440,44.115966
3,80.00,1500.000000,0.150000,1.533465,280.039393,42.005909
3,90.00,1500.000000,0.150000,1.554224,263.767096,39.565064
3,100.00,1500.000000,0.150000,1.569563,245.868997,36.880350
4,0.00,1200.000000,0.120000,0.658333,197.500000,23.700000
4,10.00,1200.000000,0.120000,0.877126,240.637714,28.876526
4,20.00,1200.000000,0.120000,1.039939,266.981588,32.037791
4,30.00,1200.000000,0.120000,1.161153,280.845969,33.701516
4,40.00,1200.000000,0.120000,1.251440,285.431933,34.251832
4,50.00,1200.000000,0.120000,1.318720,283.115927,33.973911
4,60.00,1200.000000,0.120000,1.368877,275.663192,33.079583
4,70.00,1200.000000,0.120000,1.406286,264.385669,31.726280
4,80.00,1200.000000,0.120000,1.434196,250.258917,30.031070
4,90.00,1200.000000,0.120000,1.455029,234.008725,28.081047
4,100.00,1200.000000,0.120000,1.470584,216.175327,25.941039
5,0.00,1600.000000,0.160000,0.675000,202.500000,32.400000
5,10.00,1600.000000,0.160000,0.900766,247.729722,39.636756
5,20.00,1600.000000,0.160000,1.068012,275.403590,44.064574
5,30.00,1600.000000,0.160000,1.191982,290.094627,46.415140
5,40.00,1600.000000,0.160000,1.283928,295.178386,47.228542
5,50.00,1600.000000,0.160000,1.352161,293.148260,46.903722
5,60.00,1600.000000,0.160000,1.402824,285.847283,45.735565
5,70.00,1600.000000,0.160000,1.440462,274.638666,43.942187
5,80.00,1600.000000,0.160000,1.468438,260.531372,41.685019
5,90.00,1600.000000,0.160000,1.489242,244.272639,39.083622
5,100.00,1600.000000,0.160000,1.504721,226.416210,36.226594
6,0.00,1400.000000,0.140000,0.692857,207.857143,29.100000
6,10.00,1400.000000,0.140000,0.926800,255.539888,35.775584
6,20.00,1400.000000,0.140000,1.099055,284.716625,39.860328
6,30.00,1400.000000,0.140000,1.225998,300.299480,42.041927
6,40.00,1400.000000,0.140000,1.319626,305.887800,42.824292
6,50.00,1400.000000,0.140000,1.388738,304.121452,42.577003
